ZB_3	ZB_4	ZB_6	ZB_7	ZB_8	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_18	ZB_19	ZB_22	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_32	ZB_33	ZB_34	ZB_36	ZB_37	ZB_38	ZB_41	ZB_42	ZB_43	ZB_45	ZB_46	ZB_48	ZB_49	ZB_51	ZB_52	ZB_54	ZB_55	ZB_57	ZB_58	ZB_59	ZB_62
ZB_18	0.345431383902721	0.287692889765695	0.498956989247312	0.393086276780544	0.158703348377159	0.627987826000891	0.42270896954301	0.482827377089798	0.255189723173551	0.48721725265519	0	0.237845130328215	0.48721725265519	0.320440069484655	0.200704843435639	0.486378730400954	0.790557522363052	0.846961261888193	0.458719563278653	0.346075713851762	0.314475969889983	0.227399775854386	0.634623655913979	0.385026056745802	0.302624111558522	0.142953097857556	0.152094951322594	0.84431964321531	0.385026056745802	0.149907506177507	0.385026056745802	0.790557522363052	0.393086276780544	0.393086276780544	0.385026056745802	0.125400018903847	0.358438047559449	0.142953097857556	0.930829932708159	0.237845130328215	0.358227711266654
ZB_19	0.290779703607584	0.457111667233087	0.455612089914945	0.333158257896417	0.358801660127084	0.620076003336732	0.560014829919362	0.437853369172305	0.30880217505484	0.609180132027477	0.237845130328215	0	0.609180132027477	0.268555421674339	0.389831206681703	0.44374620291616	0.840372395752876	0.837048147023086	0.587460479294755	0.126841585662211	0.26325166579129	0.410191450139545	0.575381606925881	0.325990463537966	0.46849157063264	0.110719766016828	0.352756408275919	0.753390799270862	0.325990463537966	0.351088042347659	0.325990463537966	0.840372395752876	0.333158257896417	0.333158257896417	0.325990463537966	0.332396164818076	0.224426640340219	0.110719766016828	0.947281696377998	0	0.510870124921474
ZB_22	0.565143801297637	0.280110025609409	0.545132643884892	0.539699692867706	0.390485215463934	0.487836418006951	0.329772256728778	0.622719018843211	0.434575958042792	0	0.48721725265519	0.609180132027477	0	0.465687654877225	0.500624758966448	0.622217547365791	0.893395445134576	0.736957518489723	0.0526486594438065	0.621361935644799	0.580216816224908	0.484915987780041	0.709799636735157	0.544210407749493	0.264696764192986	0.560521134916039	0.396178080448065	0.729055441478439	0.544210407749493	0.397730518965244	0.544210407749493	0.893395445134576	0.539699692867706	0.539699692867706	0.544210407749493	0.414593135364443	0.578086608482962	0.560521134916039	1	0.609180132027477	0.2009895778503
ZB_24	0.138250442513209	0.458234693114705	0.578555821454583	0.0883222572651498	0.339293279174662	0.480584027934219	0.52498832927019	0.570464451955797	0.278800867203269	0.465687654877225	0.320440069484655	0.268555421674339	0.465687654877225	0	0.310700762487681	0.565549890750182	0.87800197105659	0.841478651577405	0.435993466997071	0.291354452481916	0.151317495720732	0.292564447224477	0.709832483612527	0.0785227528722685	0.367904816406926	0.177486971627099	0.218342006148605	0.838642616936717	0.0785227528722685	0.329960876174338	0.0785227528722685	0.87800197105659	0.0883222572651498	0.0883222572651498	0.0785227528722685	0.238381140100628	0.325158672354594	0.177486971627099	1	0.268555421674339	0.331282383419689
ZB_25	0.306579956116002	0.488191847040873	0.404450295237852	0.266693691552859	0.359294616454448	0.544891781443923	0.278912368349987	0.373791054157917	0.437655320779911	0.500624758966448	0.200704843435639	0.389831206681703	0.500624758966448	0.310700762487681	0	0.38847422100662	0.738387793680799	0.815356413198623	0.468091014269186	0.408850087303567	0.171808384237968	0.161087701024257	0.661138882592252	0.256964732523519	0.391964026689875	0.313862188766647	0.228952712503626	0.811497307104387	0.256964732523519	0.349181058345373	0.256964732523519	0.738387793680799	0.266693691552859	0.266693691552859	0.256964732523519	0.0860316236020054	0.354023013867896	0.313862188766647	1	0.389831206681703	0.353366756652526
ZB_26	0.555570929836512	0.598257729420455	0.139372822299652	0.535213776061088	0.522860411899314	0.676617677076955	0.445459704880817	0.308782974456113	0.655576631640221	0.622217547365791	0.486378730400954	0.44374620291616	0.622217547365791	0.565549890750182	0.38847422100662	0	0.768106401759399	0.619859068535779	0.632410510963846	0.333090546270891	0.471496581357074	0.492999987857741	0.345508022867243	0.538786961660389	0.560408842867734	0.54580232381531	0.525155230058908	0.64174683203423	0.538786961660389	0.526028423537959	0.538786961660389	0.768106401759399	0.535213776061088	0.535213776061088	0.538786961660389	0.429162838974457	0.256868086052588	0.54580232381531	1	0.44374620291616	0.537266842361129
ZB_27	0.874489714239974	0.918355373735452	0.763687091216783	0.867199299860254	0.862361564232733	0.891008001354727	0.637197762329424	0.716039204909774	0.933532988240154	0.893395445134576	0.790557522363052	0.840372395752876	0.893395445134576	0.87800197105659	0.738387793680799	0.768106401759399	0	0.856012304250559	0.897855541669146	0.845347967074083	0.783334964145431	0.851522181714881	0.707403631970401	0.868491312430982	0.836955391494229	0.820497973364215	0.863533507397737	0.849870251042365	0.868491312430982	0.863853434054007	0.868491312430982	0	0.867199299860254	0.867199299860254	0.868491312430982	0.760894716544543	0.82767246650731	0.820497973364215	1	0.840372395752876	0.824435030884356
ZB_28	0.837259496793291	0.796778019066981	0.612614535530789	0.828558435652569	0.822826451829473	0.731290092658589	0.759815788994667	0.726777869739607	0.833669481911005	0.736957518489723	0.846961261888193	0.837048147023086	0.736957518489723	0.841478651577405	0.815356413198623	0.619859068535779	0.856012304250559	0	0.747570400979492	0.746480419057121	0.842453404654162	0.810102899906455	0.520349605466833	0.83009489962787	0.793259588869391	0.866127592224342	0.824211984759266	0.466712230886328	0.83009489962787	0.824590556205466	0.83009489962787	0.856012304250559	0.828558435652569	0.828558435652569	0.83009489962787	0.8287231142668	0.717505142031241	0.866127592224342	1	0.837048147023086	0.779011539298933
ZB_29	0.536813400857032	0.307803151904276	0.558224272281889	0.509711636901376	0.356611683076083	0.508769209899033	0.357813088932532	0.634201601847175	0.403152750461887	0.0526486594438065	0.458719563278653	0.587460479294755	0.0526486594438065	0.435993466997071	0.468091014269186	0.632410510963846	0.897855541669146	0.747570400979492	0	0.600319281616363	0.552868406037658	0.45135883401222	0.718232044198895	0.51451621986934	0.22383259058322	0.536097278517661	0.362620926680244	0.740301915015056	0.51451621986934	0.364259641326774	0.51451621986934	0.897855541669146	0.509711636901376	0.509711636901376	0.51451621986934	0.382059390667181	0.554638946022569	0.536097278517661	1	0.587460479294755	0.156584903674071
ZB_30	0.312886006485408	0.548184993924666	0.345562484410077	0.353943626839611	0.457567588092345	0.631918184085807	0.573729109503617	0.45537540533799	0.411480482989064	0.621361935644799	0.346075713851762	0.126841585662211	0.621361935644799	0.291354452481916	0.408850087303567	0.333090546270891	0.845347967074083	0.746480419057121	0.600319281616363	0	0.286216013968571	0.428575704664505	0.471449239211773	0.346999251683712	0.485058618109254	0.228897706561361	0.372930905462709	0.761077575455226	0.346999251683712	0.450457548602673	0.346999251683712	0.845347967074083	0.353943626839611	0.353943626839611	0.346999251683712	0.353205288101771	0.102569219256672	0.228897706561361	1	0.126841585662211	0.526116238463457
ZB_32	0.144116636265102	0.561042269832079	0.485303701412745	0.0948853073148912	0.450492182976259	0.484323236276716	0.402801269237758	0.467322882488759	0.394267515923567	0.580216816224908	0.314475969889983	0.26325166579129	0.580216816224908	0.151317495720732	0.171808384237968	0.471496581357074	0.783334964145431	0.842453404654162	0.552868406037658	0.286216013968571	0	0.297380178179607	0.704474040162314	0.0851563482855505	0.483965481158671	0.171522872032426	0.345619283278551	0.839652448657188	0.0851563482855505	0.441818181818182	0.0851563482855505	0.783334964145431	0.0948853073148912	0.0948853073148912	0.0851563482855505	0.231702889154002	0.31980022890438	0.171522872032426	1	0.26325166579129	0.456429275377354
ZB_33	0.186696759725137	0.381773507731693	0.508177811236446	0.245852620683707	0.241322994982859	0.530853603357621	0.421886589965753	0.490757481717354	0.336827608338125	0.484915987780041	0.227399775854386	0.410191450139545	0.484915987780041	0.292564447224477	0.161087701024257	0.492999987857741	0.851522181714881	0.810102899906455	0.45135883401222	0.428575704664505	0.297380178179607	0	0.746275615802761	0.235847157931054	0.267550280040733	0.336757382744644	0.0887379073319755	0.806018641027903	0.235847157931054	0.230302941133197	0.235847157931054	0.851522181714881	0.245852620683707	0.245852620683707	0.235847157931054	0.228952712503626	0.446367512347503	0.336757382744644	1	0.410191450139545	0.333025712830957
ZB_34	0.77583417898301	0.760071798962904	0.334012477517986	0.766166390676421	0.68072171912029	0.801656198743849	0.642056419570893	0.427614940428331	0.794749044049017	0.709799636735157	0.634623655913979	0.575381606925881	0.709799636735157	0.709832483612527	0.661138882592252	0.345508022867243	0.707403631970401	0.520349605466833	0.718232044198895	0.471449239211773	0.704474040162314	0.746275615802761	0	0.767859744043284	0.636382601439449	0.67743772782503	0.682853048877567	0.54796692717182	0.767859744043284	0.68343625136215	0.767859744043284	0.707403631970401	0.766166390676421	0.766166390676421	0.767859744043284	0.59460265572245	0.411040080048919	0.67743772782503	1	0.575381606925881	0.615767211804742
ZB_36	0.0691613237112216	0.527723093024994	0.552594081716059	0.0106345592616927	0.408781679084951	0.436322520512781	0.487957617523309	0.541353748936687	0.348289267113559	0.544210407749493	0.385026056745802	0.325990463537966	0.544210407749493	0.0785227528722685	0.256964732523519	0.538786961660389	0.868491312430982	0.83009489962787	0.51451621986934	0.346999251683712	0.0851563482855505	0.235847157931054	0.767859744043284	0	0.442127257482799	0.242072958888245	0.292564447224477	0.82683272526838	0	0.399449276084627	0	0.868491312430982	0.0106345592616927	0.0106345592616927	0	0.310700762487681	0.38318593278535	0.242072958888245	1	0.325990463537966	0.409805136291958
