ZB_2	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_11	ZB_13	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_23	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_38	ZB_39	ZB_47	ZB_48	ZB_49	ZB_50	ZB_55	ZB_56	ZB_57	ZB_59	ZB_61	ZB_64
ZB_18	0.690985965202923	0.467006372945019	0.614340806529908	0.43826784660767	1	0.719340236554907	0.82375861314667	0.69198654552373	0.472117128904777	0.742612363173857	0	0.43826784660767	1	1	0.705614415950242	0.65458670234425	0.43826784660767	0.74140845729528	0.823707998851251	0.721847845920557	0.43826784660767	0.43826784660767	0.353062999402076	0.43826784660767	0.892722060175842	0.467006372945019	0.510109242383081	0.446849797249818	1	0.721847845920557	1	0.893668881382775	0.43826784660767	0.854633821796469	0.412827154098522	0.302676986354342	1	0.503948615960965
ZB_19	0.676201223633711	0.513826548672566	0.727904941301825	0	1	0.609670796460177	0.892191380997382	0.768990945730924	0.429137407733338	0.674565434048226	0.43826784660767	0	1	1	0.644332743362832	0.35058740690135	0	0.546227728613569	0.89217244379015	0.602968731563422	0	0	0.131705014749263	0	0.922620030193255	0.513826548672566	0.127892618112667	0.653985280774272	1	0.602968731563422	1	0.923113856027102	0	0.904587794254248	0.293571410930824	0.194444837758112	1	0.677226046721589
ZB_20	0.742353836563137	1	0.673432288838905	1	0.41326065058956	1	1	0.743239586390368	0.726569563859343	0.718854427996948	1	1	0	0.631794750251822	1	1	1	1	1	1	1	1	1	1	0.589505947158038	1	0.89512252750962	1	0.631794750251822	1	0.41326065058956	0.594789837114741	1	0.773927152606994	0.87863317305251	1	0.201670913076969	0.913446249903048
ZB_21	0.946254077890091	1	0.931876793608935	1	0.788771982564257	1	1	0.946438848509565	0.86218902603998	0.896480724445022	1	1	0.631794750251822	0	1	1	1	1	1	1	1	1	1	1	0.914369455006337	1	0.872107381887333	1	0	1	0.788771982564257	0.915471693573611	1	0.630652370310494	0.84671057500185	1	0.833465663328791	1
ZB_23	0.839598988399981	0.67048554689247	0.799441974412485	0.644332743362832	1	0.331366194060577	0.748782008808512	0.840122240104157	0.733307226201454	0.797113102197848	0.705614415950242	0.644332743362832	1	1	0	0.585175602774414	0.644332743362832	0.216198787223199	0.74867915699998	0.341241692062865	0.644332743362832	0.644332743362832	0.590384301788335	0.644332743362832	0.868906640090711	0.67048554689247	0.689819959991109	0.711165413288207	1	0.341241692062865	1	0.87031774215453	0.644332743362832	0.807163853132783	0.628224672537556	0.653336909342689	1	0.741340370257683
ZB_25	0.681193420095635	0.432962677529451	0.737199389928371	0.35058740690135	1	0.642053247173523	0.876600408747386	0.678401757942464	0.596197411840159	0.574463804392529	0.65458670234425	0.35058740690135	1	1	0.585175602774414	0	0.35058740690135	0.470753055157987	0.876575597566171	0.536931630518551	0.35058740690135	0.35058740690135	0.45399577167019	0.35058740690135	0.809966118382949	0.432962677529451	0.425414036831293	0.658990409464193	1	0.536931630518551	1	0.811426888317361	0.35058740690135	0.892575895200873	0.574678671818795	0.502153220903885	1	0.683921318134172
ZB_26	0.676201223633711	0.513826548672566	0.727904941301825	0	1	0.609670796460177	0.892191380997382	0.768990945730924	0.429137407733338	0.674565434048226	0.43826784660767	0	1	1	0.644332743362832	0.35058740690135	0	0.546227728613569	0.89217244379015	0.602968731563422	0	0	0.131705014749263	0	0.922620030193255	0.513826548672566	0.127892618112667	0.653985280774272	1	0.602968731563422	1	0.923113856027102	0	0.904587794254248	0.293571410930824	0.194444837758112	1	0.677226046721589
ZB_27	0.850848040919197	0.714690468814539	0.816725122923974	0.546227728613569	1	0.361634298277757	0.791093392970003	0.851300577548597	0.645780961163536	0.730527374595171	0.74140845729528	0.546227728613569	1	1	0.216198787223199	0.470753055157987	0.546227728613569	0	0.79102227409785	0.125042904839666	0.546227728613569	0.546227728613569	0.477398488884057	0.546227728613569	0.881437538801131	0.714690468814539	0.604261852428112	0.745701482406134	1	0.125042904839666	1	0.882592955213006	0.546227728613569	0.833110010680648	0.623703553598733	0.539565076984548	1	0.769387669932288
ZB_28	0.783144408127534	0.80203782335281	0.88091399960277	0.89217244379015	1	0.765468934776676	0.0768435749125129	0.783941635589248	0.897969844473465	0.823383208894308	0.823707998851251	0.89217244379015	1	1	0.74867915699998	0.876575597566171	0.89217244379015	0.79102227409785	0	0.768459811405478	0.89217244379015	0.89217244379015	0.877925558359651	0.89217244379015	0.639611404951936	0.80203782335281	0.904572961969094	0.827119598744736	1	0.768459811405478	1	0.644779339828725	0.89217244379015	0.409512653383127	0.88786729528018	0.869726031550332	1	0.845604747674969
ZB_29	0.844542439875232	0.690691426092554	0.807111316671321	0.602968731563422	1	0.282628837324219	0.768547112898592	0.845033985466349	0.626893342972842	0.719733997008133	0.721847845920557	0.602968731563422	1	1	0.341241692062865	0.536931630518551	0.602968731563422	0.125042904839666	0.768459811405478	0	0.602968731563422	0.602968731563422	0.542746099907594	0.602968731563422	0.874499228458914	0.690691426092554	0.653746099956369	0.72680867893979	1	0	1	0.875793094477605	0.602968731563422	0.819026694650541	0.679070795645045	0.507133357160016	1	0.753957210917672
