ZB_1	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_17	ZB_18	ZB_19	ZB_20	ZB_22	ZB_24	ZB_25	ZB_26	ZB_27	ZB_29	ZB_30	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_41	ZB_43	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_59	ZB_61	ZB_62
ZB_13	0.371015263739412	0.927255977555379	0.94344512195122	0.918831532912197	0.196772231991717	0.927255977555379	0.922915132098579	0.91977760127085	0.920543007949358	0.0883394033637517	0	0.94344512195122	0.980157779109247	0.403691813804173	0.941732952708258	0.245457212109984	1	1	0.925775909215204	0.355211255810058	0.174369889857423	0	1	0.245457212109984	0.366031800927184	0.355211255810058	0.231274969329013	0.739704383282365	0.927255977555379	0.941732952708258	0.256062514924697	0.427528160462292	0.485096938989155	0.941732952708258	0.927255977555379	1	0.212352170888407	0.931878784076293	0.927255977555379	0.49672685951434	1	0.181374314308446	0.245457212109984	0.376416908785857	0.245457212109984	0.366031800927184	1	0.980157779109247
ZB_14	0.916190501501581	0.688498153253915	0	0.80117899249732	0.838364223325631	0.688498153253915	0.622470209948931	0.808786078098472	0.814647191935816	0.93869854692132	0.94344512195122	0	0.781911449773395	0.899890322243693	0.1632053389113	0.845004863137418	0.982469246476418	0.982469246476418	0.667932898932483	0.887813697295576	0.853565041727381	0.94344512195122	0.982469246476418	0.845004863137418	0.889915340705402	0.887813697295576	0.845288138783449	0.83058997125194	0.688498153253915	0.1632053389113	0.901951794603091	0.877940397081006	0.868744657065825	0.1632053389113	0.688498153253915	0.982469246476418	0.930511331710058	0.477735004941997	0.688498153253915	0.871110776284211	0.8367946610887	0.906076481475672	0.845004863137418	0.915598319192784	0.845004863137418	0.889915340705402	0.8367946610887	0.781911449773395
ZB_15	0.968891880890503	0.855683353656527	0.781911449773395	0.902320322485498	0.967004244301329	0.855683353656527	0.814598416529066	0.908026291427513	0.912262109771714	0.978285339598929	0.980157779109247	0.781911449773395	0	0.977325634471426	0.739376264730389	0.966197335309465	0.919616350765015	0.919616350765015	0.843394606966598	0.955609845105831	0.983549145582196	0.980157779109247	0.919616350765015	0.966197335309465	0.956508352700475	0.955609845105831	0.968417667911033	0.916245926880796	0.855683353656527	0.739376264730389	0.961601529274559	0.951351471454123	0.947329171628237	0.739376264730389	0.855683353656527	0.919616350765015	0.974969451897761	0.886099984393695	0.855683353656527	0.948369372980876	1	0.963326493865416	0.966197335309465	0.968632589271619	0.966197335309465	0.956508352700475	1	0
ZB_17	0.278718911309244	0.744359105278596	0.899890322243693	0.84908375065526	0.341542776998597	0.744359105278596	0.81740556865216	0.774612857813233	0.76237681839512	0.35511382397615	0.403691813804173	0.899890322243693	0.977325634471426	0	0.934120227711913	0.342009788028963	1	1	0.708211612196458	0.17364876944163	0.398540352643251	0.403691813804173	1	0.342009788028963	0.153407623701408	0.17364876944163	0.355991764323421	0.820645887059972	0.744359105278596	0.934120227711913	0.35905733554013	0.0961314923249069	0.17080748715386	0.934120227711913	0.744359105278596	1	0.271840213049268	0.765041835573217	0.744359105278596	0.492535990355294	0.961555607695917	0.314888466194017	0.342009788028963	0.284913186297513	0.342009788028963	0.153407623701408	0.961555607695917	0.977325634471426
ZB_18	0.912374786390097	0.773734588773865	0.1632053389113	0.778273861838636	0.865214755092342	0.773734588773865	0.725773910850514	0.787693136297842	0.794894308943089	0.936681792627098	0.941732952708258	0.1632053389113	0.739376264730389	0.934120227711913	0	0.870300896978679	0.979050113081776	0.979050113081776	0.75879661721891	0.918511302001855	0.880696118691217	0.941732952708258	0.979050113081776	0.870300896978679	0.920037871475976	0.918511302001855	0.870988486996894	0.815181792950319	0.773734588773865	0	0.9287807833377	0.911339638794896	0.904660134587142	0	0.773734588773865	0.979050113081776	0.927908465354457	0.562971440461947	0.773734588773865	0.90637881119709	1	0.931776829689118	0.870300896978679	0.911727246007642	0.870300896978679	0.920037871475976	1	0.739376264730389
ZB_19	0.525404103561669	0.765774319546725	0.845004863137418	0.861439179905207	0.0606116746175104	0.765774319546725	0.817678662405632	0.851697466536983	0.843646272366573	0.31211307180461	0.245457212109984	0.845004863137418	0.966197335309465	0.342009788028963	0.870300896978679	0	0.997282818458308	0.997282818458308	0.784153891281861	0.238509872940886	0.0861006901023575	0.245457212109984	0.997282818458308	0	0.22277800935575	0.238509872940886	0.0184490451268275	0.800171367699504	0.765774319546725	0.870300896978679	0.119687215352076	0.305165732635512	0.358227965355935	0.870300896978679	0.765774319546725	0.997282818458308	0.40568601114662	0.70322510922761	0.765774319546725	0.345298195235669	0.974703966158739	0.0782810739042502	0	0.529479875874207	0	0.22277800935575	0.974703966158739	0.966197335309465
ZB_20	1	0.988399301321557	0.982469246476418	1	1	0.988399301321557	0.985096744146661	1	1	1	1	0.982469246476418	0.919616350765015	1	0.979050113081776	0.997282818458308	0	0	0.987411487018096	0.9964317573595	1	1	0	0.997282818458308	0.996503982678823	0.9964317573595	1	0.986402441379843	0.988399301321557	0.979050113081776	0.996913390798046	0.99608945374557	0.995766126607248	0.979050113081776	0.988399301321557	0	1	0.990844301097643	0.988399301321557	0.995849741787912	1	0.997052049746661	0.997282818458308	1	0.997282818458308	0.996503982678823	1	0.919616350765015
ZB_22	1	0.988399301321557	0.982469246476418	1	1	0.988399301321557	0.985096744146661	1	1	1	1	0.982469246476418	0.919616350765015	1	0.979050113081776	0.997282818458308	0	0	0.987411487018096	0.9964317573595	1	1	0	0.997282818458308	0.996503982678823	0.9964317573595	1	0.986402441379843	0.988399301321557	0.979050113081776	0.996913390798046	0.99608945374557	0.995766126607248	0.979050113081776	0.988399301321557	0	1	0.990844301097643	0.988399301321557	0.995849741787912	1	0.997052049746661	0.997282818458308	1	0.997282818458308	0.996503982678823	1	0.919616350765015
ZB_24	0.892444092226157	0.1994070596955	0.667932898932483	0.582131496865446	0.803967169355934	0.1994070596955	0.407059695500448	0.312924683499034	0.27562406122595	0.919862716696344	0.925775909215204	0.667932898932483	0.843394606966598	0.708211612196458	0.75879661721891	0.784153891281861	0.987411487018096	0.987411487018096	0	0.742526269789246	0.870254581384219	0.925775909215204	0.987411487018096	0.784153891281861	0.722285124049024	0.742526269789246	0.802602936408689	0.798308451049965	0.1994070596955	0.75879661721891	0.754807481519804	0.718373510336661	0.695645538114749	0.75879661721891	0.1994070596955	0.987411487018096	0.909771780568627	0.359648256101176	0.1994070596955	0.670313863277289	0.88280523567699	0.786533600125162	0.784153891281861	0.89173625825751	0.784153891281861	0.722285124049024	0.88280523567699	0.843394606966598
ZB_25	0.376753710161382	0.692411402157165	0.887813697295576	0.818039899440435	0.299121547558396	0.692411402157165	0.760572946233071	0.829430109449178	0.794673992376936	0.427528160462292	0.355211255810058	0.887813697295576	0.955609845105831	0.17364876944163	0.918511302001855	0.238509872940886	0.9964317573595	0.9964317573595	0.742526269789246	0	0.297832292875741	0.355211255810058	0.9964317573595	0.238509872940886	0.0202411457402221	0	0.22909935062898	0.737582110128943	0.692411402157165	0.918511302001855	0.248651630806222	0.0875334522747547	0.157215554294056	0.918511302001855	0.692411402157165	0.9964317573595	0.219538155867326	0.715759102959223	0.692411402157165	0.489315975395865	0.966780877463304	0.173836941501612	0.238509872940886	0.382106074122131	0.238509872940886	0.0202411457402221	0.966780877463304	0.955609845105831
