ZB_1	ZB_3	ZB_4	ZB_6	ZB_7	ZB_8	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_17	ZB_18	ZB_19	ZB_22	ZB_24	ZB_25	ZB_26	ZB_27	ZB_29	ZB_30	ZB_32	ZB_33	ZB_34	ZB_36	ZB_37	ZB_38	ZB_41	ZB_43	ZB_45	ZB_46	ZB_49	ZB_51	ZB_52	ZB_54	ZB_55	ZB_57	ZB_59	ZB_62
ZB_15	1	0.734216597916521	0.421773886562619	0.876592524811712	0.734216597916521	0.536094674556213	0.856884057971014	0.825980148883375	0.732838095238095	0.487910015491345	0	0.785664059066538	0.592725519605742	0.752671557066411	0.385859402638096	0.661886020501189	0.647699365182336	0.822939810139366	0.732838095238095	0.200841772984348	0.732067027293711	0.691198570326144	0.734216597916521	0.877420820806824	0.734216597916521	0.421773886562619	0.752671557066411	0.734216597916521	0.686053473727676	0.607023898069398	0.693822487113402	0.725914309919068	0.734216597916521	0.734216597916521	0.647699365182336	0.637373905992893	0.752671557066411	0.752671557066411	0.231515641582857
ZB_17	1	0.782825281409495	0.93617840638566	0.818704173034882	0.782825281409495	0.9459739797884	0.936786989840147	0.957315788241354	0.936389964758017	0.869045701090167	0.785664059066538	0	0.891342126370199	0.797905043834681	0.93330894457655	0.907141905142705	0.712131041193643	0.728132524877426	0.936389964758017	0.919882218511031	0.781068842175744	0.914122204613488	0.782825281409495	0.820041096153477	0.782825281409495	0.93617840638566	0.797905043834681	0.782825281409495	0.912884268438633	0.952613657040368	0.914755645668741	0.776041385028569	0.782825281409495	0.782825281409495	0.712131041193643	0.703693988028522	0.797905043834681	0.797905043834681	0.821584049753064
ZB_18	0.969220796058602	0.347409634342446	0.566109166342538	0.573142800238996	0.347409634342446	0.617478968544258	0.511543818298693	0.564634146341463	0.855043406366267	0.467675566934894	0.592725519605742	0.891342126370199	0	0.392722955059287	0.551826655238912	0.169812998910457	0.592987485142977	0.797155204086988	0.855043406366267	0.674523248339404	0.438408683529177	0.241785467690183	0.347409634342446	0.490613857232748	0.347409634342446	0.566109166342538	0.392722955059287	0.347409634342446	0.229152472385672	0.550130078046828	0.248228092783505	0.377700482416276	0.347409634342446	0.347409634342446	0.592987485142977	0.584052301591555	0.392722955059287	0.392722955059287	0.47002892650525
ZB_19	0.960703306712643	0.0694360859452514	0.707844699988614	0.208942600152893	0.0694360859452514	0.623607293310128	0.703371773393406	0.47777362111872	0.706299507164815	0.51702151884322	0.752671557066411	0.797905043834681	0.392722955059287	0	0.727834615572291	0.268505717213448	0.297961971991347	0.489029130951026	0.706299507164815	0.802345440054651	0.0769018070623445	0.199069631268197	0.0694360859452514	0.20269676810722	0.0694360859452514	0.707844699988614	0	0.0694360859452514	0.212195637676681	0.546705486247784	0.192205722093004	0.097623656088873	0.0694360859452514	0.0694360859452514	0.297961971991347	0.317951887575023	0	0	0.67816073258405
ZB_22	0.933916044983855	0.707526393064392	0.0684222246965817	0.784393945029196	0.707526393064392	0.276911110150815	0.863983367443069	0.832333181915987	0.747524930698059	0.436485485283222	0.385859402638096	0.93330894457655	0.551826655238912	0.727834615572291	0	0.627932314944522	0.612321023122191	0.682825408983969	0.747524930698059	0.273770393832546	0.705160960654062	0.660188457008245	0.707526393064392	0.785922670704236	0.707526393064392	0.0684222246965817	0.727834615572291	0.707526393064392	0.654526685248271	0.399583766909469	0.663075869845361	0.737817241138223	0.707526393064392	0.707526393064392	0.612321023122191	0.600958672167505	0.727834615572291	0.727834615572291	0.154343761055238
ZB_24	0.946278878438174	0.213923652380619	0.600604807328842	0.477448317366341	0.213923652380619	0.485446823649745	0.594490027349743	0.447970360824742	0.730871456185567	0.339737175638717	0.661886020501189	0.907141905142705	0.169812998910457	0.268505717213448	0.627932314944522	0	0.459501503181151	0.664825561071104	0.730871456185567	0.729793431614524	0.345407524275793	0.0866942853661508	0.213923652380619	0.357127875270922	0.213923652380619	0.600604807328842	0.268505717213448	0.213923652380619	0.119201030927835	0.380317079136371	0.0944547358247423	0.24421450045445	0.213923652380619	0.213923652380619	0.459501503181151	0.480983010557226	0.268505717213448	0.268505717213448	0.560024903831188
ZB_25	0.944024836661878	0.245577850800531	0.583846902367824	0.418846995194378	0.245577850800531	0.463857096520087	0.926816052576383	0.684384394882193	0.581645892220008	0.312033733376581	0.647699365182336	0.712131041193643	0.592987485142977	0.297961971991347	0.612321023122191	0.459501503181151	0	0.272160696909318	0.581645892220008	0.718456049302627	0.374863779053691	0.497031603259544	0.245577850800531	0.388782073690834	0.245577850800531	0.583846902367824	0.297961971991347	0.245577850800531	0.398989722435853	0.354316296742505	0.377508215059778	0.275868698874362	0.245577850800531	0.245577850800531	0	0.0284741207543673	0.297961971991347	0.297961971991347	0.5415643390019
ZB_26	0.923094063345536	0.450901908690485	0.64920391749193	0.394633402855768	0.450901908690485	0.50976535824524	0.90790718134829	0.602837347410096	0.425210886519179	0.5841944302859	0.822939810139366	0.728132524877426	0.797155204086988	0.489029130951026	0.682825408983969	0.664825561071104	0.272160696909318	0	0.425210886519179	0.808146851233791	0.47939015556552	0.688098762219222	0.450901908690485	0.359126053163059	0.450901908690485	0.64920391749193	0.489029130951026	0.450901908690485	0.604313780325806	0.521890894584622	0.582832272949731	0.481192756764315	0.450901908690485	0.450901908690485	0.272160696909318	0.300634817663686	0.489029130951026	0.489029130951026	0.707281357301555
ZB_27	1	0.684384394882193	0.758222436737227	0.628724169836537	0.684384394882193	0.519761425697039	0.869592300744386	0.43759927741614	0	0.611283990111967	0.732838095238095	0.936389964758017	0.855043406366267	0.706299507164815	0.747524930698059	0.730871456185567	0.581645892220008	0.425210886519179	0	0.697663390239696	0.681831797438021	0.752173993658799	0.684384394882193	0.63163263224464	0.684384394882193	0.758222436737227	0.706299507164815	0.684384394882193	0.627191080829978	0.589496314496314	0.636416720360825	0.674525496133672	0.684384394882193	0.684384394882193	0.581645892220008	0.569384494312355	0.706299507164815	0.706299507164815	0.77253413771853
ZB_29	1	0.787597007620779	0.323460639127046	0.869583813738982	0.787597007620779	0.474871440300765	0.840203037936035	0.811711324706009	0.697663390239696	0.590759075907591	0.200841772984348	0.919882218511031	0.674523248339404	0.802345440054651	0.273770393832546	0.729793431614524	0.718456049302627	0.808146851233791	0.697663390239696	0	0.785879160573009	0.753218796961943	0.787597007620779	0.870508512131172	0.787597007620779	0.323460639127046	0.802345440054651	0.787597007620779	0.749107050686487	0.563959955506118	0.755315721649484	0.780962165864561	0.787597007620779	0.787597007620779	0.718456049302627	0.71020437364367	0.802345440054651	0.802345440054651	0.385859402638096
