ZB_1	ZB_2	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_50	ZB_52	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_23	0.93034122085048	0.570734616427216	0.765528101246136	0.570734616427216	0.738057893808759	0.765528101246136	0.536786472621317	0.137198335644938	0.761097355650193	0.570734616427216	0.717853529963155	0.811462036011887	0.588439663699308	0.537438180019782	0.177457235321313	0.596693187722211	0.552559452495446	0.606776283009467	0.570734616427216	0.93034122085048	0	0.93034122085048	0.811462036011887	0.761610628751238	0.811462036011887	0.93034122085048	0.665900161147223	0.577333876885446	0.728432732316228	0.608084221976186	0.700405959248684	0.675657040416461	0.570734616427216	0.850297257758272	0.93034122085048	0.630547628753907	0.820323216735254	0.752243240566505	0.592297356004809	0.709121521243934	0.820323216735254	0.471613495056569	0.93034122085048	0.889981995884774	0.803867487042706	0.570734616427216	0.93034122085048	0.721548860788998	0.587696053186011	0.93034122085048	0.563125614495061	0.768691631992603	0.639648039158557	0.799716749151804	0.570734616427216	0.729831034583736	0.137198335644938	0.551648376538806
ZB_24	0	0.961835646680288	0.807052956542389	0.961835646680288	1	0.807052956542389	0.931940023454515	0.939898289412853	0.795468848332285	0.961835646680288	1	1	0.951859696938277	0.954631749399743	0.937377162896451	0.964322567896898	0.921758389908036	1	0.961835646680288	0	0.93034122085048	0	1	1	1	0	0.879740980573543	0.97055759387598	0.852967788635541	0.966378382851941	1	1	0.961835646680288	1	0	1	0.612310628653227	0.80106506702577	0.964931968017955	0.824457167548882	0.612310628653227	0.963193241146559	0	1	1	0.961835646680288	0	1	0.968801297866009	0	0.969567863664029	0.836904702162895	1	0.893327206485706	0.961835646680288	0.918940489848855	0.939898289412853	0.959991136497932
ZB_25	1	0.862774620408856	1	0.862774620408856	0.152199469305955	1	0.737822891430791	0.824133713819812	1	0.862774620408856	0.172371958816972	0	0.843217224864926	0.848271927219296	0.820595519739761	0.787155923281616	0.720039732352395	0.293200168012321	0.862774620408856	1	0.811462036011887	1	0	0.0634832294449392	0	1	0.698947741633216	0.314010055714092	1	0.216637010676157	0.131198513045274	0.366850378552109	0.862774620408856	0.64057155685855	1	0.275454258403422	1	1	0.257882976082099	1	1	0.865755243449578	1	1	0.0526524305693118	0.862774620408856	1	0.108941998799732	0.273089439479318	1	0.290949950840395	1	0.189382747768001	0.655363225406151	0.862774620408856	0.533460803059273	0.824133713819812	0.858857658024458
ZB_26	1	0.826490796505217	0.968800135100904	0.826490796505217	0.140063829322141	0.968800135100904	0.685352714485776	0.777632830547629	0.968482780680243	0.826490796505217	0.116269919338973	0.0634832294449392	0.801762221271028	0.828093419303275	0.79735471304978	0.749836413604572	0.695020791129118	0.24528865450133	0.826490796505217	1	0.761610628751238	1	0.0634832294449392	0	0.0634832294449392	1	0.717320999690866	0.267509172441908	0.947529823054985	0.16353554580816	0.0723054682301108	0.349425668212945	0.826490796505217	0.663389235183536	1	0.262531868626275	0.938969871352817	0.968632278192217	0.204781511214102	0.94553094856585	0.938969871352817	0.830259527415306	1	0.936516770555061	0.112793113683586	0.826490796505217	1	0.0972830950687258	0.260174145258961	1	0.242885902898076	0.969783393132775	0.134433810777828	0.676396452096164	0.826490796505217	0.56193375026752	0.777632830547629	0.821538148347414
ZB_27	1	0.862774620408856	1	0.862774620408856	0.152199469305955	1	0.737822891430791	0.824133713819812	1	0.862774620408856	0.172371958816972	0	0.843217224864926	0.848271927219296	0.820595519739761	0.787155923281616	0.720039732352395	0.293200168012321	0.862774620408856	1	0.811462036011887	1	0	0.0634832294449392	0	1	0.698947741633216	0.314010055714092	1	0.216637010676157	0.131198513045274	0.366850378552109	0.862774620408856	0.64057155685855	1	0.275454258403422	1	1	0.257882976082099	1	1	0.865755243449578	1	1	0.0526524305693118	0.862774620408856	1	0.108941998799732	0.273089439479318	1	0.290949950840395	1	0.189382747768001	0.655363225406151	0.862774620408856	0.533460803059273	0.824133713819812	0.858857658024458
ZB_28	0	0.961835646680288	0.807052956542389	0.961835646680288	1	0.807052956542389	0.931940023454515	0.939898289412853	0.795468848332285	0.961835646680288	1	1	0.951859696938277	0.954631749399743	0.937377162896451	0.964322567896898	0.921758389908036	1	0.961835646680288	0	0.93034122085048	0	1	1	1	0	0.879740980573543	0.97055759387598	0.852967788635541	0.966378382851941	1	1	0.961835646680288	1	0	1	0.612310628653227	0.80106506702577	0.964931968017955	0.824457167548882	0.612310628653227	0.963193241146559	0	1	1	0.961835646680288	0	1	0.968801297866009	0	0.969567863664029	0.836904702162895	1	0.893327206485706	0.961835646680288	0.918940489848855	0.939898289412853	0.959991136497932
ZB_29	0.879740980573543	0.803138769457277	0.919988182870085	0.803138769457277	0.743159009150129	0.919988182870085	0.537741014509758	0.705465457795939	0.918063784192613	0.803138769457277	0.74906062653044	0.698947741633216	0.757478576310394	0.76995100300465	0.694861999966926	0.814863495439815	0.473800195886386	0.784617475200435	0.803138769457277	0.879740980573543	0.665900161147223	0.879740980573543	0.698947741633216	0.717320999690866	0.698947741633216	0.879740980573543	0	0.755175069076414	0.929161490006321	0.720423322022676	0.737025484470401	0.669042415468352	0.803138769457277	0.784438518252919	0.879740980573543	0.779372871446999	0.898936501026183	0.91897686477862	0.708395826364686	0.923147863510606	0.898936501026183	0.809521843257082	0.879740980573543	1	0.682940815618916	0.803138769457277	0.879740980573543	0.730536886128458	0.740570792255042	0.879740980573543	0.746945081698581	0.925632694155874	0.754044939170736	0.711606122403245	0.803138769457277	0.45632474701012	0.705465457795939	0.794532598407661
ZB_30	0.97055759387598	0.683522402127445	0.847406803460615	0.683522402127445	0.190859265298727	0.847406803460615	0.567404991620238	0.510123658105721	0.856049282058251	0.683522402127445	0.171137382796576	0.314010055714092	0.7698137736932	0.741288578165951	0.529845540607872	0.606732637664322	0.623698872129365	0.0294424061240205	0.683522402127445	0.97055759387598	0.577333876885446	0.97055759387598	0.314010055714092	0.267509172441908	0.314010055714092	0.97055759387598	0.755175069076414	0	0.799755401549124	0.124301309054672	0.210418082166961	0.378656520360556	0.683522402127445	0.753435702314626	0.97055759387598	0.0532137518684604	0.924056710603796	0.851999818815962	0.160420346967432	0.832277936313811	0.924056710603796	0.626060618633695	0.97055759387598	0.953499116727816	0.350129093626851	0.683522402127445	0.97055759387598	0.230139964669113	0.0562938805091271	0.97055759387598	0.0325225347646872	0.819477284051275	0.153743715178693	0.723993296190606	0.683522402127445	0.636780359650315	0.510123658105721	0.674930329370924
ZB_31	0.852967788635541	0.740435425914183	0.237965979008324	0.740435425914183	0.861040408067303	0.237965979008324	0.537108393365723	0.59123439667129	0.281125588128845	0.740435425914183	0.838786837989512	1	0.896801753003742	0.846021272404964	0.631493296347665	0.757349551013239	0.66723906852069	0.829197807673144	0.740435425914183	0.852967788635541	0.728432732316228	0.852967788635541	1	0.947529823054985	1	0.852967788635541	0.929161490006321	0.799755401549124	0	0.924056710603796	0.88310997986241	0.838054605322161	0.740435425914183	1	0.852967788635541	0.852969153417584	0.620747376040536	0.26090300398118	0.921210925017388	0.162414042707202	0.620747376040536	0.749668739170319	0.852967788635541	0.767779587404995	1	0.740435425914183	0.852967788635541	0.905363549940201	0.856049282058251	0.852967788635541	0.832277936313811	0.0984889612739776	0.953499116727816	0.934105147908599	0.740435425914183	0.944866662142906	0.59123439667129	0.72789048650778
ZB_32	0.966378382851941	0.77589793651328	0.942163240200555	0.77589793651328	0.266751784682485	0.942163240200555	0.691706300674911	0.634424967160393	0.94164441268289	0.77589793651328	0.246463253247842	0.216637010676157	0.745683332314651	0.773234200743494	0.654146849662545	0.701616081986598	0.700473915823523	0.153743715178693	0.77589793651328	0.966378382851941	0.608084221976186	0.966378382851941	0.216637010676157	0.16353554580816	0.216637010676157	0.966378382851941	0.720423322022676	0.124301309054672	0.924056710603796	0	0.214731076277606	0.446129687441231	0.77589793651328	0.718437060332699	0.966378382851941	0.170104968254835	0.913276917983944	0.941888665199682	0.0412459654059422	0.92150381572171	0.913276917983944	0.720944062955971	0.966378382851941	0.946898535132004	0.257882976082099	0.77589793651328	0.966378382851941	0.23587397781792	0.111530071087374	0.966378382851941	0.0948639917599138	0.943778593105947	0.0336216171480593	0.68481544318464	0.77589793651328	0.585223040635604	0.634424967160393	0.7698137736932
