ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_17	ZB_18	ZB_19	ZB_21	ZB_22	ZB_24	ZB_25	ZB_26	ZB_27	ZB_29	ZB_30	ZB_32	ZB_33	ZB_34	ZB_36	ZB_37	ZB_38	ZB_41	ZB_43	ZB_44	ZB_45	ZB_46	ZB_48	ZB_49	ZB_51	ZB_52	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_62
ZB_14	0.649321218827134	0.680427162601478	0.818523641266447	0.730405466469153	0.651361299739798	0.0953105133255217	0.650012410478076	0.424817619195796	0.768023258371122	0.731540547163398	0	0.647116751015931	0.83101446706693	0.591925419699896	0.704622023557482	0.279349804293087	0.155318989803296	0.146501829942974	0.639492191888552	0.727627890219508	0.729080752792982	0.17335684403416	0.732774650117272	0.651361793299464	0.631073319015668	0.717555855649	0.72112140008631	0.718892573109621	0.615341829933734	0.641856478298526	0.146501829942974	0.663355266988878	0.589127670713769	0.146501829942974	0.849398113316743	0.651361299739798	0.649321218827134	0.603189510540521	0.631073319015668	0.693811497622156	0.664024361895021	0.619564753472535	1	0.666074201108063	0.768317917778166
ZB_15	0.394213691125805	0.794488526232495	0.925082543401853	0.934388224615614	0.401260548634758	0.742427264341452	0.934274376911625	0.857828143317208	0.937687090031331	0.916802892552001	0.647116751015931	0	0.632593726090283	0.1552326101877	0.895766059994624	0.860381103612545	0.789626195305708	0.698814792748319	0.872782833389507	0.922453360554532	0.949453866053464	0.759508845437616	0.923918686554415	0.876971416899535	0.86981195417734	0.919585767268453	0.829202514691154	0.416168410563029	0.86426057519875	0.873617150459387	0.698814792748319	0.936849854558949	0.141136494645187	0.698814792748319	0.940088921191748	0.401260548634758	0.394213691125805	0.612040729624909	0.86981195417734	0.89195120647934	0.936978855572811	0.865750774177333	1	0.882163179167412	0.53964250124564
ZB_17	0.458453703109285	0.903087790110999	0.938203051206457	0.89580708645208	0.464753283559992	0.815377353923609	0.945836782820301	0.881902469709816	0.946330644406596	0.94274631682279	0.83101446706693	0.632593726090283	0	0.649817505681427	0.906819445416085	0.884054079454372	0.81686434537203	0.730753681164354	0.934408819444743	0.90221897663564	0.958411388229402	0.838452481076535	0.904120176551933	0.890017861721592	0.883617617166482	0.941182820988344	0.84731456566071	0.569353102953486	0.878654928699522	0.887019295159692	0.730753681164354	0.947973082877987	0.645339780996443	0.730753681164354	0.950658195447482	0.464753283559992	0.458453703109285	0.653181488029163	0.883617617166482	0.910180935401889	0.948080056272658	0.879987100996353	0.602797644920378	0.894659068677442	0.511445721843524
ZB_18	0.302870074660011	0.769224135452899	0.927751186343187	0.916289938717178	0.291237494976841	0.686586936066954	0.936337361901372	0.86714096833092	0.9391604736256	0.918509725355334	0.591925419699896	0.1552326101877	0.649817505681427	0	0.876612258874558	0.869373050066855	0.746186797405041	0.651361299739798	0.852242519332063	0.905190461744735	0.950682895364164	0.719808976282367	0.904764885434348	0.854363953220542	0.845888883268107	0.899341134898057	0.79781714189181	0.327056787323565	0.8393173950152	0.850393314106628	0.651361299739798	0.93875667517994	0.0164125212616753	0.651361299739798	0.941807813008444	0.291237494976841	0.302870074660011	0.551666916035311	0.845888883268107	0.874459154757915	0.93887801091402	0.841081429702801	1	0.860509742381545	0.44537614514637
ZB_19	0.827936124540209	0.492807199060352	0.54682960775578	0.105692014831125	0.825911020615558	0.732774650117272	0.474308795210445	0.792132287152372	0.264044095717457	0.113681970315658	0.704622023557482	0.895766059994624	0.906819445416085	0.876612258874558	0	0.787135803469187	0.750499832468675	0.653920785298482	0.18066136212172	0.0470486871803558	0.296802913204046	0.711794573457883	0.0281526265597903	0.152766476061431	0.199358594356956	0.0820351189840606	0.389722045281324	0.916967057082157	0.232102683815001	0.175252493639333	0.653920785298482	0.450202694492822	0.878637362799209	0.653920785298482	0.416943124035774	0.825911020615558	0.827936124540209	0.73132762131293	0.199358594356956	0.0353067664245133	0.448943448052402	0.223578837295787	0.962988464271644	0.115438287719402	0.931566215375325
ZB_21	0.887745765597072	0.809978458505239	0.791349841643169	0.761978870745947	0.888398806879482	0.203428130511464	0.595077500647882	0.224537360742087	0.759807106452405	0.759833164392895	0.279349804293087	0.860381103612545	0.884054079454372	0.869373050066855	0.787135803469187	0	0.146837460523597	0.384926376712912	0.740199977530615	0.776626367299942	0.697290844163324	0.261415029256203	0.780969520165186	0.748753808110352	0.734132915147139	0.76811291920533	0.837639278119492	0.879599035230806	0.722796014461482	0.741903800994669	0.384926376712912	0.612831502812751	0.868477475006856	0.384926376712912	0.831148817441521	0.888398806879482	0.887745765597072	0.807526077759136	0.734132915147139	0.7793451958382	0.613716240595475	0.725839265136174	1	0.759356307676938	0.87255393878575
ZB_22	0.781885692399353	0.749431036790926	0.804356815277047	0.721013150202152	0.783154576801845	0.066330467372134	0.621458457468751	0.328372067986381	0.754573078515954	0.73842932451057	0.155318989803296	0.789626195305708	0.81686434537203	0.746186797405041	0.750499832468675	0.146837460523597	0	0.279066303515193	0.695485900460622	0.738181621479601	0.712280771604324	0.13429746786928	0.743272272632556	0.705511927371024	0.688374638417637	0.728202927267549	0.785905548247552	0.740878609170884	0.675086548328011	0.697482968293794	0.279066303515193	0.637018898725435	0.744446660517065	0.279066303515193	0.83976950864086	0.783154576801845	0.781885692399353	0.716801006637975	0.688374638417637	0.741368386500866	0.637796656892965	0.678653571648749	1	0.717939218861217	0.725716478262153
ZB_24	0.50281938888416	0.705017518566328	0.831970168207402	0.67629873829554	0.505711747159992	0.227849178653502	0.676943107966896	0.503595619610301	0.781270606190048	0.745397025308864	0.146501829942974	0.698814792748319	0.730753681164354	0.651361299739798	0.653920785298482	0.384926376712912	0.279066303515193	0	0.660500645379716	0.694170858363221	0.745503209163504	0.286575358815982	0.682073411858272	0.591518507090365	0.591825107951077	0.731921825307413	0.649526077439414	0.760075325559622	0.549315764741985	0.603560637998876	0	0.688345013477089	0.649321218827134	0	0.858776761729032	0.505711747159992	0.50281938888416	0.477633306586914	0.591825107951077	0.649645336266737	0.688918543709172	0.55426354751054	0.893054728061963	0.608756280204297	0.802259766788663
ZB_25	0.860509109375992	0.380972924390518	0.446907089091113	0.277384825503281	0.860833034262914	0.673852376137513	0.358395685877991	0.782129636096948	0.338294013745137	0.16910921925269	0.639492191888552	0.872782833389507	0.934408819444743	0.852242519332063	0.18066136212172	0.740199977530615	0.695485900460622	0.660500645379716	0	0.193575747113064	0.194860131312426	0.686880107564434	0.20881398868151	0.231370081939989	0.112736834429302	0.163755025159852	0.360653592011653	0.8986585776879	0.186526383098663	0.136973555746556	0.660500645379716	0.376733079555773	0.851877317155376	0.660500645379716	0.373622901258818	0.860833034262914	0.860509109375992	0.749469942233225	0.112736834429302	0.150674422332654	0.327437366588024	0.176787584820095	1	0.191755985292221	0.91647680035951
ZB_26	0.869096925348938	0.511733512472838	0.524455881273352	0.0889913953018882	0.869362863696639	0.719581319330945	0.448354603516825	0.781869535146998	0.227708809062914	0.0699230718704238	0.727627890219508	0.922453360554532	0.90221897663564	0.905190461744735	0.0470486871803558	0.776626367299942	0.738181621479601	0.694170858363221	0.193575747113064	0	0.262084980275334	0.697565423684282	0.0194434446570308	0.199815163241786	0.216314805867967	0.0408770719030856	0.431781831882302	0.912867591658843	0.279151370995357	0.191795033126224	0.694170858363221	0.423058347146395	0.904994764672989	0.694170858363221	0.388156700011205	0.869362863696639	0.869096925348938	0.771982811268169	0.216314805867967	0.0723192573757204	0.421736929752369	0.270627524476142	0.961161147237581	0.162486974899757	0.928187533083732
