ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_14	ZB_15	ZB_16	ZB_17	ZB_19	ZB_20	ZB_21	ZB_23	ZB_25	ZB_26	ZB_27	ZB_30	ZB_31	ZB_32	ZB_33	ZB_35	ZB_38	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_48	ZB_50	ZB_52	ZB_55	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_26	0.865044167142562	1	0.759937609301886	0.846171957232286	0.867704280155642	1	0.770916963601101	1	1	0.846171957232286	0.616759908829885	0.898899249807193	0.892391271902331	0.898265394622723	0.865044167142562	0.534116996266077	0.846171957232286	1	0.898265394622723	0.78081109016842	0	0.78081109016842	0.754828813816089	0.874859977596415	0.67557156339683	0.618172702607054	0.846171957232286	0.231358347185942	1	0.275002799865606	0.729271465741544	1	1	0.898899249807193	1	0.671020200736882	0.860185546506212	1	0.78081109016842	0.838637482655208	1	0.66125951701944	1	0.846171957232286	1	0.729271465741544	0.846171957232286
ZB_27	0.852610889530005	1	0.962440419447092	0.885932455922523	0.902853120212017	1	0.96361285555966	1	1	0.885932455922523	0.221709161480292	0.878725875861341	0.871404375638639	0.920409824942326	0.852610889530005	0.724781078296703	0.885932455922523	1	0.920409824942326	0	0.78081109016842	0	0.524442354480587	0.906767873465008	0.551994452897783	0.224950851354503	0.885932455922523	0.751353588302238	1	0.759754756589251	0.929703652653342	1	1	0.878725875861341	1	0.344012634666366	0.895337047290293	1	0	0.336338735448528	1	0.322340053606806	1	0.885932455922523	1	0.929703652653342	0.885932455922523
ZB_30	0.744936234058515	0.979268467215964	0.895943796394486	0.845931482870718	0.933859459017399	0.979268467215964	0.876742160278746	0.891087894338697	0.979268467215964	0.845931482870718	0.388971805933226	0.848935240117405	0.893825849830346	0.824947353356096	0.744936234058515	0.389145584002424	0.845931482870718	0.891087894338697	0.824947353356096	0.524442354480587	0.754828813816089	0.524442354480587	0	0.913127926233363	0.0906302075443115	0.386416143607777	0.845931482870718	0.735294718979371	0.979268467215964	0.714563186195334	0.837865474928041	0.979268467215964	0.891087894338697	0.848935240117405	0.979268467215964	0.275050602114044	0.773543385846462	0.979268467215964	0.524442354480587	0.283433174541514	0.979268467215964	0.298235570730511	0.979268467215964	0.845931482870718	0.979268467215964	0.837865474928041	0.845931482870718
ZB_31	0.944503944412518	0.761355613085432	0.905128822537924	0.936073540253058	0.238644386914568	0.761355613085432	0.82374187334457	0.881569726699369	0.761355613085432	0.936073540253058	0.895307443365696	0.9463001438389	0.942324527524589	0.503737444522308	0.944503944412518	0.938357244206211	0.936073540253058	0.881569726699369	0.503737444522308	0.906767873465008	0.874859977596415	0.906767873465008	0.913127926233363	0	0.936373276776246	0.89126213592233	0.936073540253058	0.842020202020202	0.761355613085432	0.773737373737374	0.658961393370255	0.761355613085432	0.881569726699369	0.9463001438389	0.761355613085432	0.937207248199995	0.942350483013134	0.761355613085432	0.906767873465008	0.906503046998915	0.761355613085432	0.904580694629824	0.761355613085432	0.936073540253058	0.761355613085432	0.658961393370255	0.936073540253058
ZB_32	0.714848712178044	0.980469577611279	0.8191028332595	0.815843960990248	0.955574912891986	0.980469577611279	0.799572410870779	0.897397869758662	0.980469577611279	0.815843960990248	0.450897591274049	0.853521183618271	0.897049028116989	0.85470004544766	0.714848712178044	0.30362680328974	0.815843960990248	0.897397869758662	0.85470004544766	0.551994452897783	0.67557156339683	0.551994452897783	0.0906302075443115	0.936373276776246	0	0.421964983917256	0.815843960990248	0.750630790269458	0.980469577611279	0.731100367880737	0.780904408422966	0.980469577611279	0.897397869758662	0.853521183618271	0.980469577611279	0.317051561085537	0.743455863965992	0.980469577611279	0.551994452897783	0.324948477436006	0.980469577611279	0.338893276064639	0.980469577611279	0.815843960990248	0.980469577611279	0.780904408422966	0.815843960990248
ZB_33	0.8507947119843	0.966212388790777	0.969074592501504	0.881764549068697	0.924077669902913	0.966212388790777	0.942544674393658	0.97045798857942	0.966212388790777	0.881764549068697	0.0615857605177993	0.874820532328723	0.86782502785768	0.904580694629824	0.8507947119843	0.610133176490358	0.881764549068697	0.97045798857942	0.904580694629824	0.224950851354503	0.618172702607054	0.224950851354503	0.386416143607777	0.89126213592233	0.421964983917256	0	0.881764549068697	0.568591516443971	0.966212388790777	0.534803905234747	0.914088468422398	0.966212388790777	0.97045798857942	0.874820532328723	0.966212388790777	0.204951743803466	0.890914729345339	0.966212388790777	0.224950851354503	0.404830207184014	0.966212388790777	0.125655518004895	0.966212388790777	0.881764549068697	0.966212388790777	0.914088468422398	0.881764549068697
ZB_35	0.131876599968654	0.984744309206072	0.858696796906736	0	0.951329231046986	0.984744309206072	0.843441106112808	0.919854965622038	0.984744309206072	0	0.883213370886795	0.0720056569425429	0.136895000526577	0.871184196669024	0.131876599968654	0.853872098997074	0	0.919854965622038	0.871184196669024	0.885932455922523	0.846171957232286	0.885932455922523	0.845931482870718	0.936073540253058	0.815843960990248	0.881764549068697	0	0.900144036341477	0.984744309206072	0.886100493047477	0.812553598026088	0.984744309206072	0.919854965622038	0.0720056569425429	0.984744309206072	0.900935970152473	0.0981900575274069	0.984744309206072	0.885932455922523	0.833174331329525	0.984744309206072	0.83177440105706	0.984744309206072	0	0.984744309206072	0.812553598026088	0
ZB_38	0.912394746114871	1	0.944131965779647	0.900144036341477	0.830442324371206	1	0.946687113797303	1	1	0.900144036341477	0.566787124406076	0.89305526713934	0.885745978924015	0.877576579867453	0.912394746114871	0.641902917991979	0.900144036341477	1	0.877576579867453	0.751353588302238	0.231358347185942	0.751353588302238	0.735294718979371	0.842020202020202	0.750630790269458	0.568591516443971	0.900144036341477	0	1	0.0726309003653034	0.898265394622723	1	1	0.89305526713934	1	0.634863782503243	0.909240820231367	1	0.751353588302238	0.823219320828736	1	0.622800372916909	1	0.900144036341477	1	0.898265394622723	0.900144036341477
ZB_40	0.986756177838148	0	1	0.984744309206072	1	0	0.902556217566788	0.809648958137789	0	0.984744309206072	1	0.983560577811644	0.982324640914796	0.881569726699369	0.986756177838148	1	0.984744309206072	0.809648958137789	0.881569726699369	1	1	1	0.979268467215964	0.761355613085432	0.980469577611279	0.966212388790777	0.984744309206072	1	0	0.927369099634697	0.918613050806646	0	0.809648958137789	0.983560577811644	0	1	0.986242266362748	0	1	0.97106824925816	0	0.97045798857942	0	0.984744309206072	0	0.918613050806646	0.984744309206072
ZB_41	0.900074118175964	0.927369099634697	0.946687113797303	0.886100493047477	0.842020202020202	0.927369099634697	0.900951693653872	0.944511327569224	0.927369099634697	0.886100493047477	0.581003236245955	0.878014773502625	0.869677521590999	0.824662109273078	0.900074118175964	0.65167209233501	0.886100493047477	0.944511327569224	0.824662109273078	0.759754756589251	0.275002799865606	0.759754756589251	0.714563186195334	0.773737373737374	0.731100367880737	0.534803905234747	0.886100493047477	0.0726309003653034	0.927369099634697	0	0.85429314830876	0.927369099634697	0.944511327569224	0.878014773502625	0.927369099634697	0.645015354244352	0.896476630455306	0.927369099634697	0.759754756589251	0.798357239181071	0.927369099634697	0.593258361496329	0.927369099634697	0.886100493047477	0.927369099634697	0.85429314830876	0.886100493047477
