ZB_1	ZB_3	ZB_4	ZB_6	ZB_7	ZB_8	ZB_13	ZB_14	ZB_18	ZB_19	ZB_20	ZB_24	ZB_25	ZB_26	ZB_29	ZB_30	ZB_32	ZB_33	ZB_34	ZB_36	ZB_37	ZB_38	ZB_41	ZB_43	ZB_45	ZB_46	ZB_49	ZB_51	ZB_52	ZB_54	ZB_55	ZB_57	ZB_58	ZB_59	ZB_62
ZB_41	0.901407595428655	0.551940522474592	0.445866608815913	0.255026914159424	0.497840074574267	0.845362222553659	0.396838094721571	0.845362222553659	0.546255745528995	0.452677346093589	0.876303336813418	0.463522753494699	0.727482271907583	0.695944571746234	0.879828617140998	0.30004007821324	0.725027022431655	0.0970130028609006	0.396838094721571	0.191173077156633	0.845362222553659	0.725027022431655	0	0.533285587613396	0.546255745528995	0.416501830252598	0.191173077156633	0.463522753494699	0.416501830252598	0.443524817334341	0.24220031727523	0.725027022431655	0.700893522975337	0.551940522474592	0.879828617140998
ZB_43	0.697763624520518	0.134912479018943	0.533177705558353	0.701065434659627	0.0534032130990306	0.793641890424839	0.82433292475957	0.793641890424839	0.57852073754866	0.652163690586678	0.834931605992618	0.149779056623163	0.709159730072278	1	0.839635955706738	0.568168960965491	0.518566094611722	0.491962727846457	0.82433292475957	0.38571481605227	0.793641890424839	0.518566094611722	0.533285587613396	0	0.57852073754866	0.156741581605407	0.38571481605227	0.149779056623163	0.156741581605407	0.200459014147227	0.689916085234773	0.518566094611722	0.761225830222835	0.134912479018943	0.839635955706738
ZB_45	0.917301508513715	0.567141587970123	0.181164207590105	0.66751571236944	0.598571886300178	0.659196175108322	0.605296117373412	0.659196175108322	0	0.788021702838063	0.727386822052891	0.560870581166338	0.689373363674178	1	0.735156133273569	0.550289404031296	0.691901728844404	0.643268748389896	0.605296117373412	0.680467336256209	0.659196175108322	0.691901728844404	0.546255745528995	0.57852073754866	0	0.489403579438825	0.680467336256209	0.560870581166338	0.489403579438825	0.538056360284435	0.401234567901235	0.691901728844404	0.340803824891678	0.567141587970123	0.735156133273569
ZB_46	0.745136632031858	0.181779344227278	0.376436123952945	0.630323079371575	0.109168306861354	0.825986786896752	0.749221290043881	0.825986786896752	0.489403579438825	0.645010572266558	0.860804687142399	0.195022962725622	0.693336995163333	1	0.864771669641904	0.50213718936862	0.523550144184556	0.497840074574267	0.749221290043881	0.400234181388264	0.825986786896752	0.523550144184556	0.416501830252598	0.156741581605407	0.489403579438825	0	0.400234181388264	0.195022962725622	0	0.240170275094979	0.619568924357138	0.523550144184556	0.663416792542073	0.181779344227278	0.864771669641904
ZB_49	0.777825069163652	0.406021457474849	0.590546399640511	0.41960674771372	0.347130959894074	0.8483054905299	0.546630393859532	0.8483054905299	0.680467336256209	0.286390721430092	0.878657693126197	0.298268248563524	0.732669184932965	0.701731751436476	0.882115875718238	0.282660707562637	0.584658969993616	0.114199829751011	0.546630393859532	0	0.8483054905299	0.584658969993616	0.191173077156633	0.38571481605227	0.680467336256209	0.400234181388264	0	0.298268248563524	0.400234181388264	0.45337887168826	0.408117659918143	0.584658969993616	0.818980070197598	0.406021457474849	0.882115875718238
ZB_51	0.683390511571485	0.177885109444045	0.437293453950663	0.691956424051786	0.0963758435241325	0.783828351560871	0.818980070197598	0.783828351560871	0.560870581166338	0.584658969993616	0.827081635360792	0	0.619041301010254	1	0.832009704505392	0.555010383900703	0.408119941621335	0.412468078314535	0.818980070197598	0.298268248563524	0.783828351560871	0.408119941621335	0.463522753494699	0.149779056623163	0.560870581166338	0.195022962725622	0.298268248563524	0	0.195022962725622	0.243431644572329	0.680467336256209	0.408119941621335	0.75122675835364	0.177885109444045	0.832009704505392
ZB_52	0.745136632031858	0.181779344227278	0.376436123952945	0.630323079371575	0.109168306861354	0.825986786896752	0.749221290043881	0.825986786896752	0.489403579438825	0.645010572266558	0.860804687142399	0.195022962725622	0.693336995163333	1	0.864771669641904	0.50213718936862	0.523550144184556	0.497840074574267	0.749221290043881	0.400234181388264	0.825986786896752	0.523550144184556	0.416501830252598	0.156741581605407	0.489403579438825	0	0.400234181388264	0.195022962725622	0	0.240170275094979	0.619568924357138	0.523550144184556	0.663416792542073	0.181779344227278	0.864771669641904
ZB_54	0.860959819134724	0.228565066968109	0.408058993942586	0.680473670949861	0.147055801048196	0.770983935742972	0.812232300327539	0.770983935742972	0.538056360284435	0.719827746222668	0.816807228915663	0.243431644572329	0.59640562248996	1	0.822028112449799	0.681081326876293	0.612218682560888	0.388397369331949	0.812232300327539	0.45337887168826	0.770983935742972	0.612218682560888	0.443524817334341	0.200459014147227	0.538056360284435	0.240170275094979	0.45337887168826	0.243431644572329	0.240170275094979	0	0.668556311413454	0.612218682560888	0.738302168378544	0.228565066968109	0.822028112449799
ZB_55	0.94427154533027	0.683800641772928	0.471276898284198	0.329530211457595	0.700907168678808	0.795938450527823	0.204061549472178	0.795938450527823	0.401234567901235	0.476043405676127	0.836768652710682	0.680467336256209	0.799428065851424	0.598765432098766	0.841420647700841	0.224164509467438	0.788021702838063	0.33921332013613	0.204061549472178	0.408117659918143	0.795938450527823	0.788021702838063	0.24220031727523	0.689916085234773	0.401234567901235	0.619568924357138	0.408117659918143	0.680467336256209	0.619568924357138	0.668556311413454	0	0.788021702838063	0.605296117373412	0.683800641772928	0.841420647700841
ZB_57	0.465078297627053	0.417700039159379	0.542189869578405	0.953460692988742	0.465162881512691	0.634771191597015	0.946688925987757	0.634771191597015	0.691901728844404	0.417971371057929	0.707848976846959	0.408119941621335	0.356358279693855	1	0.71617510487719	0.644309961046188	0	0.698858799744627	0.946688925987757	0.584658969993616	0.634771191597015	0	0.725027022431655	0.518566094611722	0.691901728844404	0.523550144184556	0.584658969993616	0.408119941621335	0.523550144184556	0.612218682560888	0.788021702838063	0	0.922515418056819	0.417700039159379	0.71617510487719
