ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_19	ZB_20	ZB_21	ZB_23	ZB_25	ZB_26	ZB_27	ZB_28	ZB_30	ZB_31	ZB_32	ZB_33	ZB_35	ZB_37	ZB_38	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_50	ZB_52	ZB_53	ZB_54	ZB_55	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_25	0.920222268767788	0.795062509890805	0.795412177319979	0.960231913965815	0.442414852944851	0.94823188915628	0.815600615139261	0.795412177319979	0.815600615139261	0.958304892655222	0.370425754027594	0.370425754027594	0.909102394923772	0.907958890673641	0.805450393606154	0.913318786061393	0.464583933198963	0.913318786061393	0.795412177319979	0.854242171847917	0	0.370425754027594	0	0.950080564956942	0.842057205954176	0.819134078212291	0.478523019397055	0.445173802774877	0.958304892655222	0.795412177319979	0.419510926118626	0.795412177319979	0.452134842495519	0.820133892608128	0.795062509890805	0.795062509890805	0.911139473286947	0.809210914019683	0.958304892655222	0.946288292921668	0.810489653759475	0.370425754027594	0.836467570538659	0.46750984369407	0.795412177319979	0.436429762085164	0.805450393606154	0.960231913965815	0.793921069382559	0.827938988095238	0.920222268767788
ZB_26	0.854321577188076	0.666206429427395	0.666675338189386	0.924456105182478	0.114345685799245	0.902834652834653	0.694236964562701	0.666675338189386	0.694236964562701	0.920948884844372	0	0	0.835783402755527	0.833899403681618	0.68025852818606	0.842765983556265	0.149558498896247	0.842765983556265	0.666675338189386	0.55869707133692	0.370425754027594	0	0.370425754027594	0.918672103010508	0.749127612737916	0.699161794745369	0.171698995092311	0.118727932766423	0.920948884844372	0.666675338189386	0.0779656607700312	0.666675338189386	0.129784674310688	0.700560878709979	0.666206429427395	0.666206429427395	0.839149865675764	0.68540843133885	0.920948884844372	0.912895094046926	0.687167342155379	0	0.740249175522169	0.154205942011693	0.666675338189386	0.104839117037935	0.68025852818606	0.924456105182478	0.664677710606893	0.711568331720055	0.854321577188076
ZB_27	0.920222268767788	0.795062509890805	0.795412177319979	0.960231913965815	0.442414852944851	0.94823188915628	0.815600615139261	0.795412177319979	0.815600615139261	0.958304892655222	0.370425754027594	0.370425754027594	0.909102394923772	0.907958890673641	0.805450393606154	0.913318786061393	0.464583933198963	0.913318786061393	0.795412177319979	0.854242171847917	0	0.370425754027594	0	0.950080564956942	0.842057205954176	0.819134078212291	0.478523019397055	0.445173802774877	0.958304892655222	0.795412177319979	0.419510926118626	0.795412177319979	0.452134842495519	0.820133892608128	0.795062509890805	0.795062509890805	0.911139473286947	0.809210914019683	0.958304892655222	0.946288292921668	0.810489653759475	0.370425754027594	0.836467570538659	0.46750984369407	0.795412177319979	0.436429762085164	0.805450393606154	0.960231913965815	0.793921069382559	0.827938988095238	0.920222268767788
ZB_28	0.780827323445367	0.905148822595358	0.905192064162094	0.225268744046809	0.90878986853488	0.484114689495855	0.893059643171879	0.905192064162094	0.893059643171879	0.55872078468856	0.918672103010508	0.918672103010508	0.779491505869459	0.763421118340849	0.891405656395103	0.770744968544507	0.909849106060287	0.770744968544507	0.905192064162094	0.900741563843168	0.950080564956942	0.918672103010508	0.950080564956942	0	0.214642577250336	0.893666093512334	0.922780719246373	0.92139047165717	0.55872078468856	0.905192064162094	0.920399773178339	0.905192064162094	0.921670654046551	0.908550488599349	0.905148822595358	0.905148822595358	0.767716535433071	0.90698945659646	0.55872078468856	0.467747136428001	0.9071655313802	0.918672103010508	0.187177277434586	0.909993562472011	0.905192064162094	0.908514164195134	0.891405656395103	0.225268744046809	0.905008416440395	0.895252442996743	0.780827323445367
ZB_30	0.781893756264371	0.888475994309133	0.888093771898159	0.300459878544897	0.731401141961487	0.526916495651611	0.876553403493059	0.888093771898159	0.876553403493059	0.584967287317157	0.749127612737916	0.749127612737916	0.782302353370936	0.781102921034938	0.889372480967309	0.773252179029826	0.719806594267801	0.773252179029826	0.888093771898159	0.831994774118132	0.842057205954176	0.749127612737916	0.842057205954176	0.214642577250336	0	0.891287904833941	0.719938524447659	0.715329242137897	0.584967287317157	0.888093771898159	0.727914268928857	0.888093771898159	0.734271229580589	0.877313156741796	0.888475994309133	0.888475994309133	0.784481384771922	0.891645861874726	0.584967287317157	0.553530162351599	0.890053339082178	0.749127612737916	0.0341805930109924	0.71820420958352	0.888093771898159	0.756288248641958	0.889372480967309	0.300459878544897	0.889714678048401	0.878690779068968	0.781893756264371
ZB_31	0.694430837058355	0.210660788537648	0.207955513250839	0.864192407130222	0.591721255664342	0.861110866250011	0.199605377873629	0.207955513250839	0.199605377873629	0.856864221433437	0.699161794745369	0.699161794745369	0.678614014168479	0.694132706740548	0.126145984670107	0.660873258579681	0.61249803029962	0.660873258579681	0.207955513250839	0.30167226420375	0.819134078212291	0.699161794745369	0.819134078212291	0.893666093512334	0.891287904833941	0	0.587420930599014	0.645318866353015	0.856864221433437	0.207955513250839	0.628794815806156	0.207955513250839	0.575051067126858	0.158996007892443	0.210660788537648	0.210660788537648	0.649978957704987	0.0932818997044236	0.856864221433437	0.90100755445466	0.0818095285807324	0.699161794745369	0.910771737767935	0.607343043018256	0.207955513250839	0.601699889648048	0.126145984670107	0.864192407130222	0.21942788437453	0.0840636901757445	0.694430837058355
ZB_32	0.770789276212566	0.631783126898808	0.630521149801355	0.881139083780437	0.13589807081917	0.884378302219091	0.602863381581613	0.630521149801355	0.602863381581613	0.875620816238393	0.171698995092311	0.171698995092311	0.770489750428892	0.805988464842312	0.644103279832519	0.752607681924162	0.0985975733291313	0.752607681924162	0.630521149801355	0.393309771964973	0.478523019397055	0.171698995092311	0.478523019397055	0.922780719246373	0.719938524447659	0.587420930599014	0	0.060107501752746	0.875620816238393	0.630521149801355	0.101659266183688	0.630521149801355	0.0481654592194438	0.528861883617668	0.631783126898808	0.631783126898808	0.77508896797153	0.577027342837111	0.875620816238393	0.917591288012211	0.571675625146062	0.171698995092311	0.753520588051211	0.0934425860477681	0.630521149801355	0.145465186952705	0.644103279832519	0.881139083780437	0.635872867492405	0.546181032348108	0.770789276212566
ZB_33	0.800031834822748	0.60823511860361	0.608760429082241	0.896303284004481	0.0827937205801534	0.882154076290202	0.580288748359384	0.608760429082241	0.580288748359384	0.891489033531789	0.118727932766423	0.118727932766423	0.802697321462113	0.800486248290533	0.624006681780217	0.78416983678979	0.0457224674859802	0.78416983678979	0.608760429082241	0.451207707718974	0.445173802774877	0.118727932766423	0.445173802774877	0.92139047165717	0.715329242137897	0.645318866353015	0.060107501752746	0	0.891489033531789	0.608760429082241	0.0468315454906635	0.608760429082241	0.10827296097219	0.588969385370414	0.60823511860361	0.60823511860361	0.806651122837158	0.637134844589857	0.891489033531789	0.916005983545251	0.631783126898808	0.118727932766423	0.749031687024252	0.0402577258083761	0.608760429082241	0.201176497103834	0.624006681780217	0.896303284004481	0.614446762018276	0.604078968102109	0.800031834822748
ZB_35	0.531576494209602	0.88701731741422	0.886630095729805	0.370343187455907	0.892716784403245	0.21667921551755	0.861783370979886	0.886630095729805	0.861783370979886	0	0.920948884844372	0.920948884844372	0.602775088738303	0.609121221899537	0.874920225162239	0.577928363988383	0.882493753277601	0.577928363988383	0.886630095729805	0.850983958535618	0.958304892655222	0.920948884844372	0.958304892655222	0.55872078468856	0.584967287317157	0.856864221433437	0.875620816238393	0.891489033531789	0	0.886630095729805	0.902458586544097	0.886630095729805	0.888336366721165	0.855437237818651	0.88701731741422	0.88701731741422	0.591065218170736	0.870216198773798	0	0.249134129289018	0.868574092001004	0.920948884844372	0.609307741161527	0.881080914335071	0.886630095729805	0.895338865410124	0.874920225162239	0.370343187455907	0.888272202502599	0.843727367251085	0.531576494209602
ZB_37	0.757975629171514	0.00341555977229601	0	0.892434344808818	0.606817557956729	0.855835742780807	0.179766536964981	0	0.179766536964981	0.886630095729805	0.666675338189386	0.666675338189386	0.714595180070403	0.709961474958723	0.0936192168778306	0.731396534148828	0.628182794415941	0.731396534148828	0	0.446893366918556	0.795412177319979	0.666675338189386	0.795412177319979	0.905192064162094	0.888093771898159	0.207955513250839	0.630521149801355	0.608760429082241	0.886630095729805	0	0.588709677419355	0	0.619585917281117	0.21577380952381	0.00341555977229601	0.00341555977229601	0.72276776320404	0.149879965080751	0.886630095729805	0.897247739999268	0.137385421213444	0.666675338189386	0.908115628159803	0.622718052738337	0	0.699161794745369	0.0936192168778306	0.892434344808818	0.0144845034788109	0.274537695590327	0.757975629171514
