ZB_1	ZB_2	ZB_4	ZB_5	ZB_9	ZB_11	ZB_14	ZB_16	ZB_17	ZB_18	ZB_20	ZB_21	ZB_22	ZB_28	ZB_29	ZB_35	ZB_36	ZB_37	ZB_39	ZB_40	ZB_42	ZB_45	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_53	ZB_55	ZB_56	ZB_58	ZB_59	ZB_60	ZB_61
ZB_20	0.868796846730421	0.275535998502013	0.208975440210585	0.856984663086208	0.786540449728612	0.275535998502013	0.747184700112338	0.655337296459033	0.384660118893771	0.858454119516672	0	0.858454119516672	0.831148253213729	0.786540449728612	0.868796846730421	0.275535998502013	0.858454119516672	0.727363336655677	0.868796846730421	0.786540449728612	0.655337296459033	0.858454119516672	0.764190242531115	0.747184700112338	0.747184700112338	0.275535998502013	0.867975159089167	0.868796846730421	0.868796846730421	0.704667515641437	0.786540449728612	0.631429309899199	0.786540449728612	0.531059825859002
ZB_21	1	0.749297818556315	0.726264407472718	0.422618601513902	0.574884792626728	0.749297818556315	0.274911995667479	0.681366804416209	1	0	0.858454119516672	0	0.275500541125541	0.574884792626728	1	0.749297818556315	0	0.431626426107721	1	0.574884792626728	0.681366804416209	0	0.38456676626063	0.274911995667479	0.274911995667479	0.749297818556315	0.197256988683205	1	1	0.591191297426373	0.574884792626728	1	0.574884792626728	0.663250227937247
ZB_22	1	0.653964984552008	0.622172813003143	0.300865800865801	0.553097943722944	0.653964984552008	0.431626426107721	0.64940302467498	1	0.275500541125541	0.831148253213729	0.275500541125541	0	0.553097943722944	1	0.653964984552008	0.275500541125541	0.21549482621385	1	0.553097943722944	0.64940302467498	0.275500541125541	0.291960732289732	0.431626426107721	0.431626426107721	0.653964984552008	0.0974702380952381	1	1	0.375059697532502	0.553097943722944	1	0.553097943722944	0.53519665482441
ZB_28	1	0.845356240052429	0.831148253213729	0.561348390931477	0	0.845356240052429	0.681366804416209	0.380671166104237	1	0.574884792626728	0.786540449728612	0.574884792626728	0.553097943722944	0	1	0.845356240052429	0.574884792626728	0.64940302467498	1	0	0.380671166104237	0.574884792626728	0.725868930750862	0.681366804416209	0.681366804416209	0.845356240052429	0.650568181818182	1	1	0.582838742265438	0	1	0	0.792278429276574
ZB_29	0	0.904948038573167	0.896215083441948	1	1	0.904948038573167	0.725088004332521	0.619328833895763	0.786779376246981	1	0.868796846730421	1	1	1	0	0.904948038573167	1	0.78450517378615	0	1	0.619328833895763	1	0.766662836129625	0.725088004332521	0.725088004332521	0.904948038573167	1	0	0	0.743591362545776	1	1	1	0.872323702329676
ZB_35	0.904948038573167	0	0.0841447430015916	0.758075086602378	0.845356240052429	0	0.654245857129482	0.750304278625597	0.554208407452486	0.749297818556315	0.275535998502013	0.749297818556315	0.653964984552008	0.845356240052429	0.904948038573167	0	0.749297818556315	0.558913023125176	0.904948038573167	0.845356240052429	0.750304278625597	0.749297818556315	0.592641138470181	0.654245857129482	0.654245857129482	0	0.687693099897013	0.904948038573167	0.904948038573167	0.62929500983054	0.845356240052429	0.732983803014699	0.845356240052429	0.255523827356989
ZB_36	1	0.749297818556315	0.726264407472718	0.422618601513902	0.574884792626728	0.749297818556315	0.274911995667479	0.681366804416209	1	0	0.858454119516672	0	0.275500541125541	0.574884792626728	1	0.749297818556315	0	0.431626426107721	1	0.574884792626728	0.681366804416209	0	0.38456676626063	0.274911995667479	0.274911995667479	0.749297818556315	0.197256988683205	1	1	0.591191297426373	0.574884792626728	1	0.574884792626728	0.663250227937247
ZB_37	0.78450517378615	0.558913023125176	0.518387896445092	0.451525603608384	0.64940302467498	0.558913023125176	0.216131599893871	0.43390819846113	0.879958616612474	0.431626426107721	0.727363336655677	0.431626426107721	0.21549482621385	0.64940302467498	0.78450517378615	0.558913023125176	0.431626426107721	0	0.78450517378615	0.64940302467498	0.43390819846113	0.431626426107721	0.0764659060758822	0.216131599893871	0.216131599893871	0.558913023125176	0.291960732289732	0.78450517378615	0.78450517378615	0.159564871318652	0.64940302467498	1	0.64940302467498	0.407520357154086
ZB_39	0	0.904948038573167	0.896215083441948	1	1	0.904948038573167	0.725088004332521	0.619328833895763	0.786779376246981	1	0.868796846730421	1	1	1	0	0.904948038573167	1	0.78450517378615	0	1	0.619328833895763	1	0.766662836129625	0.725088004332521	0.725088004332521	0.904948038573167	1	0	0	0.743591362545776	1	1	1	0.872323702329676
ZB_40	1	0.845356240052429	0.831148253213729	0.561348390931477	0	0.845356240052429	0.681366804416209	0.380671166104237	1	0.574884792626728	0.786540449728612	0.574884792626728	0.553097943722944	0	1	0.845356240052429	0.574884792626728	0.64940302467498	1	0	0.380671166104237	0.574884792626728	0.725868930750862	0.681366804416209	0.681366804416209	0.845356240052429	0.650568181818182	1	1	0.582838742265438	0	1	0	0.792278429276574
