ZB_1	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_22	ZB_24	ZB_25	ZB_26	ZB_27	ZB_29	ZB_30	ZB_32	ZB_33	ZB_34	ZB_36	ZB_37	ZB_38	ZB_39	ZB_41	ZB_43	ZB_44	ZB_45	ZB_46	ZB_48	ZB_49	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_62	ZB_64
ZB_13	1	0.700444393143649	0.641826475195462	0.168799132893966	0.372305983921924	0.686025902379123	0.656599204747696	0.368563389244062	0.779087296149102	0.0394433577933646	0	0.651126525783729	1	0.779087296149102	0.35839513803049	0.616859821362663	0.551508344927391	0.465348166460651	0.544733702898042	0.674811417687893	0.479975035189759	0.375110938108213	0.428000144107793	0.583130536748347	0.577399755707186	0.526219958502961	0.59385158580386	0.458336145114923	0.674811417687893	0.611595851355194	0.562376027401087	0.824435110851188	0.622248513880072	0.674811417687893	1	0.616859821362663	0.674811417687893	0.0394433577933646	0.674811417687893	0.674811417687893	0.674811417687893	1	0.423919674448982	0.475348223098091	1	0.628694448541508	0.483937679588773	0.514454398625637	0.595492307932104	0.0394433577933646
ZB_14	0.913207045750874	0.169032551912606	0.0320812536852333	0.616171326732088	0.583108397295061	0.120752099306316	0.0992809691285658	0.551727805867378	0.953581735685556	0.643540965593022	0.651126525783729	0	0.82387283765042	0.953581735685556	0.474624606257072	0.138880481639932	0.327192673673388	0.429322415353824	0.288739587918248	0.0825606290333641	0.190048901235647	0.564795644726902	0.477616173936476	0.201531396111716	0.366033821918962	0.262933989520592	0.201086776228926	0.542084837300187	0.0825606290333641	0.125750541885012	0.319800481285235	0.8478088014924	0.240085575806533	0.0825606290333641	0.858591890322211	0.138880481639932	0.0825606290333641	0.643540965593022	0.0825606290333641	0.0825606290333641	0.0825606290333641	0.88557713868104	0.275396382758346	0.335642539721191	0.82387283765042	0.254242431749492	0.511532844459212	0.271605983800427	0.169931817993074	0.643540965593022
ZB_15	0.737226277372263	0.853644061363495	0.818035178035178	1	0.903019778667295	0.845140562248996	0.827273911910347	1	1	1	1	0.82387283765042	0	1	1	0.801992400123241	0.881500354806086	1	0.752373168311051	0.838414006963863	0.85734561133271	0.953952610610191	0.939498020920387	0.779418800574127	0.888341336028978	0.870182655109936	0.859289680933646	0.915628560820413	0.838414006963863	0.798539008843841	0.880198388937218	0.948997918282379	0.866158428838289	0.838414006963863	0.514566682626791	0.801992400123241	0.838414006963863	1	0.838414006963863	0.838414006963863	0.838414006963863	0.923076923076923	0.847789109543324	0.861377466648365	0	0.868651835703315	1	0.871710028854355	0.787816029854629	1
ZB_16	1	0.960846202503338	0.952182530393121	0.921758892775976	0.861334417717163	0.958749007095063	0.954400690537846	0.788446395762247	0	0.818530653942467	0.779087296149102	0.953581735685556	1	0	0.822940218316194	0.948378835996664	0.900922495823346	0.923706129156759	0.936986498575821	0.957102755979923	0.880726724827971	0.861954067730635	0.811899988331265	0.943127610208817	0.906642237385225	0.891459771803536	0.96224857538888	0.880339573239037	0.957102755979923	0.947567914438503	0.89983392270062	0.564609176505754	0.888095117887616	0.957102755979923	1	0.948378835996664	0.957102755979923	0.818530653942467	0.957102755979923	0.957102755979923	0.957102755979923	1	0.872736537647219	0.884097757384421	1	0.890179854332854	0.926889212341025	0.892736808357479	0.945067455515217	0.818530653942467
ZB_17	1	0.557492433511495	0.458635658181875	0.447324147624422	0.569511158415636	0.533593967407166	0.483978763507476	0.297404063205418	0.822940218316194	0.336765551461976	0.35839513803049	0.474624606257072	1	0.822940218316194	0	0.415124691463103	0.558028954411609	0.131264222503161	0.37446224888503	0.514820097153186	0.487723421772502	0.500090334236676	0.366585326788457	0.354945601667152	0.583543930587145	0.533279294429355	0.573461863144304	0.562490908285951	0.514820097153186	0.405839832604147	0.568896636885305	0.822229160834643	0.500807795223911	0.514820097153186	1	0.415124691463103	0.514820097153186	0.336765551461976	0.514820097153186	0.514820097153186	0.514820097153186	1	0.43229529257247	0.482976122778464	1	0.510107516226527	0.3645619420246	0.521513734552032	0.451839106299825	0.336765551461976
ZB_18	0.940632603406326	0.260856963431718	0.110781680266248	0.574281707006996	0.566792310131987	0.217911646586345	0.127679502215272	0.505023059877379	0.948378835996664	0.607691377433789	0.616859821362663	0.138880481639932	0.801992400123241	0.948378835996664	0.415124691463103	0	0.40153991428779	0.358426620108863	0.200379060192144	0.183940449070088	0.279550942710891	0.563291370855595	0.469484852630459	0.102336915421028	0.436088998399461	0.344382008716517	0.289369099196529	0.523942505608363	0.183940449070088	0.017141736767905	0.394964581473908	0.93300406153655	0.324058413692129	0.183940449070088	0.821458914916859	0	0.183940449070088	0.607691377433789	0.183940449070088	0.183940449070088	0.183940449070088	0.978891085094521	0.231287634659413	0.299913066781706	0.801992400123241	0.336650894316999	0.455553928703696	0.352095721449614	0.0668116929799173	0.607691377433789
ZB_19	0.941605064507658	0.190332511971213	0.348777176190556	0.627213347413827	0.384471611490186	0.234792228908594	0.313944717300568	0.531667141603947	0.900922495823346	0.569198361745758	0.551508344927391	0.327192673673388	0.881500354806086	0.900922495823346	0.558028954411609	0.40153991428779	0	0.616043940079678	0.521458783825313	0.26664655167597	0.169323521687871	0.381449540897987	0.473272206111605	0.462784473462181	0.0577299722011625	0.0871817221784535	0.157846801995854	0.277540855867239	0.26664655167597	0.411798559543166	0.0108676824736969	0.830760290773366	0.114627509484777	0.26664655167597	0.893150286917992	0.40153991428779	0.26664655167597	0.569198361745758	0.26664655167597	0.26664655167597	0.26664655167597	0.92301546060535	0.221477222566785	0.145163182862028	0.881500354806086	0.207633097464409	0.596504461616686	0.0763140397047566	0.441524045795129	0.569198361745758
ZB_20	1	0.525785503805889	0.41040755040755	0.378625899366702	0.641271969534657	0.498232931726908	0.440342389887933	0.372838505275061	0.923706129156759	0.447324147624422	0.465348166460651	0.429322415353824	1	0.923706129156759	0.131264222503161	0.358426620108863	0.616043940079678	0	0.30306161710548	0.476437915717453	0.537779063275643	0.575125564588979	0.435744860548592	0.285284879246147	0.638209712745346	0.579372949414818	0.544078131116434	0.628159963569897	0.476437915717453	0.347237130833753	0.611825381582367	0.934020973750511	0.566333871863483	0.476437915717453	1	0.358426620108863	0.476437915717453	0.447324147624422	0.476437915717453	0.476437915717453	0.476437915717453	1	0.506814609604329	0.550842860037519	1	0.574412872219194	0.284237694639574	0.5843218621645	0.397773365884242	0.447324147624422
ZB_22	0.926397640434375	0.408965750446838	0.265165165165165	0.483331508376552	0.561537891496056	0.374625775830595	0.30247426374772	0.468767789213073	0.936986498575821	0.531729849695964	0.544733702898042	0.288739587918248	0.752373168311051	0.936986498575821	0.37446224888503	0.200379060192144	0.521458783825313	0.30306161710548	0	0.347461694946247	0.423913847726799	0.560367145210638	0.429165138736096	0.129452801843887	0.549084954932188	0.475754125654963	0.431764651243025	0.555341377371663	0.347461694946247	0.18643311073325	0.516201010021127	0.919604499240497	0.459502953501287	0.347461694946247	0.856094684893217	0.200379060192144	0.347461694946247	0.531729849695964	0.347461694946247	0.347461694946247	0.347461694946247	0.974216912219884	0.38532149598444	0.440195828512788	0.752373168311051	0.469572164693059	0.406543046625011	0.481922171880009	0.143130133765545	0.531729849695964
ZB_24	0.920372726649346	0.0942535557288468	0.111993234234166	0.644646488159219	0.593508291041333	0.0416283315078496	0.145067542898868	0.494487340132864	0.957102755979923	0.668230571571021	0.674811417687893	0.0825606290333641	0.838414006963863	0.957102755979923	0.514820097153186	0.183940449070088	0.26664655167597	0.476437915717453	0.347461694946247	0	0.224638002879487	0.590392704969197	0.421328218518337	0.267453466312124	0.308983025861343	0.196605210322707	0.234609099617458	0.483268651450593	0	0.197929127079063	0.258589133799555	0.859452666064166	0.17170066138234	0	0.854299842284513	0.183940449070088	0	0.668230571571021	0	0	0	0.89502396208733	0.304751522441922	0.359554452588446	0.838414006963863	0.187131496804241	0.449793903191643	0.206057599825785	0.238462769240147	0.668230571571021
