 OTUID	FS0916	CS0908	QQ0718	CS0617	JZ0520	JZ0701	FS0610	FS0702	QH0615	BJ0815	BJ0613	FS0617	FS0716	WZ0519	WZ0728	QH0720	BJ0718	QQ0627	QH0714	CS0715	WZ0630	FS0729	QH0518	QH0601	QQ0829	JZ0729	CS0701	BJ0606	WZ0811	WZ0825	FS0819	QQ0801	WZ0602	BJ0704	WZ0616	QH0525	FS0527	JZ0715	JZ0916	JZ0617	QH0803	JZ0603	CS0825	QH0817	CS0520	BJ0530	CS0527	BJ0516	QQ0615	WZ0714	QQ0913	QQ0815	BJ0919	QQ0926	JZ0527	WZ0505	JZ0819	QQ0710	BJ0801	FS0520	WZ0915	CS0603	QH0629	CS0917
OTU_1334	6	0	0	1	0	0	6	1	1	0	0	1	1	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	3	0	1	0	0	2	0	0	1	1
OTU_780	0	0	0	1	22	0	3	0	0	92	0	0	0	1	30	5	0	0	0	0	10	0	0	0	0	0	0	60	11	7	0	0	11	0	17	0	0	0	0	2	0	0	0	0	0	1	0	2	0	28	0	1	0	2	0	35	0	0	71	1	9	0	0	0
OTU_264	0	7	42	245	4	5	0	1	3	0	1	12	14	0	0	2	1	42	6	58	5	0	3	5	18	20	201	0	3	6	0	29	2	1	1	7	2	1	2	21	7	0	37	79	70	1	194	3	9	0	42	21	1	33	0	0	10	61	1	1	0	54	4	14
OTU_806	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	3	0	0	0
OTU_1282	0	0	0	0	0	0	0	0	0	1	0	14	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU_832	1	11	11	0	4	14	0	0	0	2	4	3	0	2	4	13	2	21	22	0	1	0	10	1	1	12	0	8	1	1	0	108	13	2	0	24	23	5	7	5	8	0	3	3	0	1	1	3	0	1	2	3	8	17	0	0	2	7	1	0	1	0	1	0
OTU_1007	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	7	0	0	0
OTU_10	1	2	0	8	14	60	0	0	0	2	2	0	0	0	1	5	9	2	0	3	6	0	1	3	1	76	8	4	2	0	0	0	0	9	9	1	67	27	10	45	7	0	6	0	1	2	8	5	0	19	0	4	5	2	0	0	18	0	4	0	0	0	5	1
OTU_63	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0
OTU_638	0	0	0	1	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	15	0	0	0	0	0	0	0	0	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1666	0	0	0	0	2	48	0	0	0	0	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	15	0	1	0	0	0	0	4	0	4	0	22	17	6	11	0	0	0	0	0	5	0	1	0	1	0	0	17	0	0	0	3	0	0	0	0	0	0	0
OTU_665	0	46	0	1	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	1	2	0	0
OTU_2344	0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	0	3	0	0	0	1	0	0	0	0	4	5	0	1	1	0	0	3	6	0	0	2	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	2	0	0	0	0	1	3	0	3
OTU_980	5	0	1	0	0	0	4	0	0	0	0	0	1	0	1	2	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	2	0	0	2	1
OTU_2161	0	0	0	0	21	8	0	0	0	0	0	0	0	20	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	27	2	0	8	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	16	0	0	0	0	12	0	0	0
OTU_197	0	4	77	20	0	0	0	0	1	12	4	0	0	0	0	2	15	150	0	7	0	0	14	2	227	0	6	3	0	0	0	56	0	4	0	0	0	0	0	0	4	0	1	0	0	0	0	0	32	0	220	42	16	143	0	0	0	37	10	0	0	4	3	9
OTU_3545	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
OTU_1533	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_162	13	17	8	66	11	29	44	13	14	0	0	11	9	10	8	4	2	7	10	24	17	3	22	6	3	21	36	0	4	4	5	7	63	0	36	9	30	23	89	58	6	28	18	0	12	0	75	0	1	69	13	2	3	8	41	0	17	10	0	100	3	21	4	61
OTU_2683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1164	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	6	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_927	2	4	0	0	1	1	25	0	0	0	0	2	2	0	0	0	0	0	0	0	28	0	0	0	0	0	0	1	0	1	1	0	7	0	23	0	1	0	0	2	1	7	0	0	0	0	0	0	0	4	0	0	0	0	23	0	0	0	0	43	0	1	0	2
OTU_1587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_219	0	0	0	0	0	1	158	18	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	11	0	0	0	0
OTU_284	22	2	3	20	0	0	10	1	0	0	1	2	2	0	17	0	2	9	2	23	12	10	1	0	1	0	12	1	47	12	23	8	0	0	4	0	0	0	1	0	1	6	0	0	13	0	13	1	4	47	3	3	1	1	10	0	0	0	8	26	1	8	1	6
OTU_1507	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1063	0	0	0	0	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_376	0	2	0	0	0	0	3	4	13	0	0	1	4	0	0	28	0	0	39	0	1	0	0	246	0	0	0	0	2	2	0	0	0	0	3	8	1	0	0	0	27	8	0	7	0	0	0	32	2	0	0	0	2	0	5	12	2	2	0	7	3	0	9	0
OTU_1517	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	3	0	0	0	1	0	0	0	0	0	0
OTU_847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_635	0	0	0	0	13	15	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	5	0	2	0	11	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0	2	0	0	0
OTU_1715	0	0	0	0	51	17	0	0	0	1	5	0	0	12	0	0	7	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	3	7	1	0	165	6	0	35	0	0	0	0	0	19	0	15	0	0	0	0	1	0	0	11	0	0	3	0	2	0	0	0
OTU_1838	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	6	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_526	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	8	0	0	0	0	0	0	0	4	0	0	0	13	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	15	0	0	0	0	5	0	0	0
OTU_956	3	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	6	0	0	0	1	0	4	0	0	0	1	0	0	1	0	0	0	0	0	0	0	8	0	1	2	0	0	0	0	0	0	1	1	0	0	0
OTU_1042	0	1	3	13	0	1	1	0	0	2	12	0	0	0	0	15	9	0	1	2	0	1	1	0	1	1	5	5	0	0	0	0	0	3	0	2	2	1	0	1	5	0	1	1	1	2	7	3	0	0	2	1	0	0	0	0	1	0	0	0	0	3	1	1
OTU_399	29	0	0	0	0	1	4	4	0	0	0	1	4	0	6	0	0	0	0	1	6	2	0	0	0	3	0	0	16	48	13	0	0	0	2	0	0	0	8	0	0	5	0	0	0	0	0	0	1	8	2	0	0	2	19	0	4	1	1	5	20	0	0	0
OTU_1332	0	0	0	0	2	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
OTU_436	0	0	0	0	0	0	0	0	0	25	10	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0	0	0	0	0	97	0	0	0	0	0
OTU_865	8	0	0	0	0	0	8	20	0	0	0	10	17	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	4	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	15	0	1	0	0	20	1	0	0	0
OTU_2333	12	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0
OTU_1769	0	1	0	0	12	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	57	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0
OTU_489	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	1	3	0	0	0
OTU_1333	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	9	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0
OTU_814	0	0	0	0	22	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	7	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
OTU_66	0	0	1	0	0	0	0	8	2	0	0	12	22	0	0	0	0	0	0	0	0	30	0	2	1	0	0	0	0	0	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	4	2	0	0	0	0	4	0	3	0	0	3	0
OTU_2058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_89	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
